Facility/Project Name,CWNS Number,Cat. I ON,Cat. II ON,All Cat. III ON,All Cat. IV ON,Cat. V ON,All Cat VI ON,Cat. X ON,Total ON,Existing Total Flow (Mgal/d),Present Design Total Flow (Mgal/d),Projected Design Total Flow (Mgal/d),Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
SOUTHBURY TRAIN SCH WPCF,09002002005,,,,"$4,605,000",,,,"$4,605,000",.194,.3,,"1,700",,,,"1,700","1,900",,,,"1,900",CT0100528,Individual Permit,CONNDEPT OF MENTAL HEALTH,New Haven,Housatonic,01100005,5th Congressional District,CT,1,MAP
HAMMONASSETT PARK WPCF,09002003001,,,,,,,,,.18,.25,.25,,,3,,,,,3,,,,,CONN PARK DEPT OF EP,New Haven,Long Island Sound,01100007,2nd Congressional District,CT,1,MAP
Burlington Fish Hatchery,09002004001,"$2,250,000","$1,875,000",,"$375,000",,,,"$4,500,000",,,.264,,,,,,,,,,,,,State of Connecticut,Hartford,Farmington,01080207,5th Congressional District,CT,1,MAP
Quinebaug Fish Hatchery,09002004002,"$2,250,000","$1,875,000",,"$375,000",,,,"$4,500,000",,,.3,,,,,,,,,,,,,State of Connecticut,Windham,Quinebaug,01100001,2nd Congressional District,CT,1,MAP
UNIVERSITY OF CONN WPCF,09002005001,,,,,,,,,.911,3,3,"2,000",,,,"2,000","2,500",,,,"2,500",CT0101320,Individual Permit,UNIVERSITY OF CONNECTICUT,Tolland,Shetucket,01100002,2nd Congressional District,CT,1,MAP
Lynn Water and Sewer Commission,25000002001,,,,,"$60,901,750",,,"$60,901,750",25.8,25.8,25.8,"89,871","36,949",,,"126,820","78,357","49,197",,,"127,554",MA0100552,Individual Permit,Lynn Water & Sewer Commisssion,Essex,Charles,01090001,6th Congressional District,MA,1,MAP
Hoosac Water Pollution Control,25000003001,,,,,,,,,5.08,5.4,5.4,"5,996","19,489",,,"25,485","4,248","23,458",,,"27,706",MA0100510,Individual Permit,HOOSAC WATER QUALITY DIST,Berkshire,Hudson-Hoosic,02020003,1st Congressional District,MA,1,MAP
South Essex Sewer District WWTP,25000004001,,,,,,,,,25.31,41,41,,"111,007",,,"111,007",,"114,825",,,"114,825",MA0100501,Individual Permit,South Essex Wastewater District,Essex,Charles,01090001,6th Congressional District,MA,1,MAP
Acton Wastewater Collection System,25000007001,,,,"$12,020,479",,,,"$12,020,479",.2,.2,.2,"1,971",,"18,028",,"1,971","2,172",,"19,553",,"2,172",,,Acton Board of Sewer Commissioners,Middlesex,Concord,01070005,3rd Congressional District,MA,1,MAP
Marlborough Easterly WWTF,25000008001,,"$335,386",,,,,,"$335,386",2.71,5.5,5.09,"15,923",,,,"15,923","16,174",,,,"16,174",MA0100498,Individual Permit,Marlborough Department of Public Works,Middlesex,Concord,01070005,5th Congressional District,MA,1,MAP
Westfield Dept of Public Works,25000010001,,"$12,602,016","$2,247,084",,,,,"$14,849,100",3.76,4.5,6.1,"20,103","15,625",,,"35,728","25,785","16,000",,,"41,785",,,Westfield Dept of Public Works,Hampden,Westfield,01080206,1st Congressional District,MA,1,MAP
Concord Dept. of Public Works,25000012001,,,,,,,,,.92,1.22,1.22,"5,439",,"11,218",,"5,439","5,992",,"12,167",,"5,992",MA0100668,Individual Permit,Concord Public Works Comm.,Middlesex,Concord,01070005,5th Congressional District,MA,1,MAP
Greenfield Wastewater Facility,25000013001,,"$48,693,035",,,,,,"$48,693,035",3.506,3.75,3.75,"16,736",,,,"16,736","20,448",,,,"20,448",MA0101214,Individual Permit,Greenfield Board of Public Works,Franklin,Deerfield,01080203,1st Congressional District,MA,1,MAP
Ipswich Dept. of Public Works,25000015001,,,,,,,,,.85,1.8,1.8,"4,576",,,,"4,576","8,207",,,,"8,207",MA0100609,Individual Permit,"IPSWICH, TOWN OF",Essex,Charles,01090001,6th Congressional District,MA,1,MAP
Plymouth Department of Public Works,25000016001,,,"$6,255,750",,,,"$396,051","$6,651,801",1.75,1.75,1.75,"13,269",,,,"13,269","17,100",,,,"17,100",MA0100587,Individual Permit,Plymouth Department of Public Works,Plymouth,Cape Cod,01090002,10th Congressional District,MA,1,MAP
Rockland Sewer Dept. ,25000018001,,,,,,,,,1.32,2.5,2.5,"10,946",,,,"10,946","16,002",,,,"16,002",,,Rockland Sewer Commission,Plymouth,Cape Cod,01090002,10th Congressional District,MA,1,MAP
Scituate Dept. of Public Works,25000019001,,,"$2,235,905","$4,927,500",,,,"$7,163,405",.84,1,1,"8,273",,,,"8,273","18,393",,,,"18,393",MA0102695,Individual Permit,Scituate Dept. of Public Works,Plymouth,Cape Cod,01090002,10th Congressional District,MA,1,MAP
Swampscott Dept of Public Works,25000020001,,,,,,,,,1.51,2.2,2.2,"13,933",,,,"13,933","16,961",,,,"16,961",,,"SWAMPSCOTT      ,TOWNOF",Essex,Charles,01090001,6th Congressional District,MA,1,MAP
Brockton Dept.of Public Works,25000024001,"$9,734,177",,"$11,628,055",,,,,"$21,362,232",15.73,18,18,"106,498","19,758",,,"126,256","108,176","20,479",,,"128,655",MA0101010,Individual Permit,Brockton Department of Public Works,Bristol,Narragansett,01090004,9th Congressional District,MA,1,MAP
Upper Blackstone Abatement District,25000025001,,"$177,910,812",,,,,,"$177,910,812",37.4,63,63,,"207,535",,,"207,535",,"211,327",,,"211,327",MA0102369,Individual Permit,Upper Blackstone Water Pollution Abatement Distric,Worcester,Blackstone,01090003,3rd Congressional District,MA,1,MAP
Billerica  Dept. of Public Works,25000027001,"$19,571,067","$31,062,556","$13,046,000",,,,,"$63,679,623",4.46,4.46,5.52,"27,000",,"5,292",,"27,000","34,500",,"5,292",,"34,500",MA0101711,Individual Permit,Billerica Dept. of Public Works,Middlesex,Concord,01070005,5th Congressional District,MA,1,MAP
Fairhaven DPW Wastewater Dept.,25000028001,,,,,,,,,2.12,5,5,"12,166","1,969",,,"14,135","17,234","6,190",,,"23,424",MA0100765,Individual Permit,"FAIRHAVEN, TOWN OF",Bristol,Cape Cod,01090002,4th Congressional District,MA,1,MAP
Shrewsbury Collection System.,25000029001,,"$35,727,411","$7,956,535","$11,737,687",,,,"$55,421,633",1.26,1.75,1.75,"16,684",,,,"16,684","25,287",,,,"25,287",,,Shrewsbury Dept. of Public Works,Worcester,Concord,01070005,3rd Congressional District,MA,1,MAP
Somerset Water Pollution Control,25000030001,,,"$3,757,464",,,,,"$3,757,464",2.59,3.2,3.2,"12,902",,,,"12,902","22,797",,,,"22,797",MA0100676,Individual Permit,Somerset Water Pollution Control,Bristol,Narragansett,01090004,4th Congressional District,MA,1,MAP
Southbridge Dept. of Public Works,25000031001,,,"$750,000",,,,,"$750,000",1.51,2.3,2.3,"14,928",,,,"14,928","24,718",,,,"24,718",MA0100901,Individual Permit,Southbridge Dept. of Public Works,Worcester,Quinebaug,01100001,2nd Congressional District,MA,1,MAP
Wareham Water Pollution Ctrl Fac.,25000032001,,,,"$14,365,661",,,,"$14,365,661",.33,1.8,1.8,"1,491","4,539",,,"6,030","5,471","5,001",,,"10,472",MA0101893,Individual Permit,Wareham Wastewater Control,Plymouth,Cape Cod,01090002,4th Congressional District,MA,1,MAP
Webster Sewer Department,25000033001,"$11,246,861",,,,,,,"$11,246,861",4.19,6.46,6.46,"10,529","9,179",,,"19,708","16,002","10,911",,,"26,913",MA0100439,Individual Permit,Webster Sewer Department,Worcester,Quinebaug,01100001,2nd Congressional District,MA,1,MAP
Dartmouth Dept. of Public Works,25000034001,,,,,,,,,.4,3.08,3.08,"12,848",,,,"12,848","14,493",,,,"14,493",MA0101605,Individual Permit,Dartmouth WPC,Bristol,Cape Cod,01090002,4th Congressional District,MA,1,MAP
Greater Lawrence Sanitary District,25000035001,,,,,,,,,31,55,55,"203,000","146,945",,,"349,945","220,000","158,678",,,"378,678",MA0100447,Individual Permit,Greater Lawrence Sanitary District,Essex,Merrimack,01070002,6th Congressional District,MA,1,MAP
Fitchburg Wastewater System - East,25000037001,"$22,830,610",,"$6,282,883",,"$19,034,483",,,"$48,147,976",8.1,12.4,12.4,"41,603","10,340",,,"51,943","41,760","11,715",,,"53,475",MA0100986,Individual Permit,Fitchburg Wastewater Commission,Worcester,Nashua,01070004,1st Congressional District,MA,1,MAP
Fitchburg Wastewater System - West,25000037002,,,,,,,,,4.8,4.8,4.8,"1,333",,,,"1,333","1,326",,,,"1,326",MA0101281,Individual Permit,FITCHBURG WASTE TREAT COM,Worcester,Nashua,01070004,1st Congressional District,MA,1,MAP
Haverhill Sewer Collection System,25000038001,,,,"$1,117,952","$745,301",,,"$1,863,253",8.71,18.1,18.1,"41,801","1,991",,,"43,792","29,912","2,194",,,"32,106",MA0101621,Individual Permit,Haverhill Water and Wastewater Dept.,Essex,Merrimack,01070002,5th Congressional District,MA,1,MAP
New Bedford Wastewater District,25000040001,,,,,"$57,525,184",,,"$57,525,184",27.05,45.5,45.5,"99,529","9,757",,,"109,286","100,080","10,749",,,"110,829",MA0100781,Individual Permit,New Bedford Wastewater Division,Bristol,Cape Cod,01090002,10th Congressional District,MA,1,MAP
Pittsfield Dept of Public Works,25000041001,,"$3,073,500",,,,,,"$3,073,500",10.57,17,17,"54,741","12,860",,,"67,601","55,629","14,152",,,"69,781",MA0101681,Individual Permit,"PITTSFIELD      ,CITYOF",Berkshire,Housatonic,01100005,1st Congressional District,MA,1,MAP
Springfield Wastewater System,25000042001,"$32,000,000","$64,245,571","$251,000,000",,"$227,000,000",,,"$574,245,571",44.99,67.1,64.89,"146,042","89,762","1,498",,"235,804","160,892","95,083","1,625",,"255,975",MA0101613,Individual Permit,Springfield Water and Sewer Commission,Hampden,Lower Connecticut,01080205,2nd Congressional District,MA,1,MAP
Adams Dept of Public Works,25000044001,,,,,,,,,1.67,1.67,1.67,"8,031",,521,,"8,031","8,848",,565,,"8,848",MA0100315,Individual Permit,"ADAMS      ,TOWN OF",Berkshire,Hudson-Hoosic,02020003,1st Congressional District,MA,1,MAP
Amherst Dept. of Public Works,25000045001,,"$60,617,860",,,,,,"$60,617,860",4.33,7.1,7.1,"30,783",,"3,092",,"30,783","33,913",,"3,354",,"33,913",MA0100218,Individual Permit,Town of Amherst,Hampshire,Middle Connecticut,01080201,2nd Congressional District,MA,1,MAP
MWRA - clinton,25000048001,,,,,,,,,1.76,3,3,,"11,563",,,"11,563",,"12,740",,,"12,740",MA0100404,Individual Permit,Mass. Water Resources Authority,Worcester,Nashua,01070004,3rd Congressional District,MA,1,MAP
Grafton Wastewater System,25000049001,,"$40,743,152",,,,,,"$40,743,152",1.6,1.6,1.6,"7,987",,,,"7,987","8,662",,,,"8,662",MA0101311,Individual Permit,Grafton Wastewater System,Worcester,Blackstone,01090003,2nd Congressional District,MA,1,MAP
Northbridge Dept. of Public Works,25000057001,,"$15,899,767",,,,,,"$15,899,767",1.01,1.8,1.8,"7,470",,,,"7,470","11,398",,,,"11,398",MA0100722,Individual Permit,Northbridge Dept. of Public Works,Worcester,Blackstone,01090003,2nd Congressional District,MA,1,MAP
Chicopee Water Pollution Control,25000059001,,"$90,887,569","$2,866,039",,"$189,465,052",,,"$283,218,660",10.32,15.5,15.5,"61,707",,,,"61,707","64,019",,,,"64,019",MA0101508,Individual Permit,Chicopee Water Pollution Control,Hampden,Lower Connecticut,01080205,2nd Congressional District,MA,1,MAP
Holyoke Collection System,25000060001,,"$98,379,806",,,"$43,453,068",,,"$141,832,874",12.17,21,21,"47,773",,,,"47,773","47,430",,,,"47,430",MA0101630,Individual Permit,Holyoke Department of Public Works,Hampden,Middle Connecticut,01080201,2nd Congressional District,MA,1,MAP
Athol Dept. of Public Works,25000062001,,,,,,,,,1.75,2.63,2.63,"11,601",,111,,"11,601","11,953",,121,,"11,953",MA0100005,Individual Permit,Athol Dept. of Public Works,Worcester,Miller,01080202,1st Congressional District,MA,1,MAP
Easthampton Dept. of Public Works,25000063001,,"$9,688,920",,"$3,564,272",,,,"$13,253,192",2.73,3.8,3.8,"14,767",,,,"14,767","15,502",,,,"15,502",MA0101478,Individual Permit,Easthampton Department of Public Works,Hampshire,Middle Connecticut,01080201,1st Congressional District,MA,1,MAP
Palmer Water Pollution Control,25000066001,,"$22,733,048",,,,,,"$22,733,048",5.6,5.6,5.6,"6,891","8,408",,,"15,299","12,537","9,656",,,"22,193",MA0101168,Individual Permit,Palmer Water Pollution Control Facility,Hampden,Chicopee,01080204,2nd Congressional District,MA,1,MAP
"South Hadley Dept, of Public Works",25000067001,"$9,992,940","$21,940,335","$4,108,506",,,,,"$36,041,781",2.97,4.2,4.2,"16,487",297,,,"16,784","17,729",328,,,"18,057",MA0100455,Individual Permit,South Hadley Dept. of Public Works,Hampden,Middle Connecticut,01080201,2nd Congressional District,MA,1,MAP
Attleboro Water and Wastewater Div.,25000070001,,"$90,253,550",,"$102,677,641",,,,"$192,931,191",3.43,3.43,3.43,"42,068","1,300","6,693",,"43,368","54,600","1,700","6,693",,"56,300",MA0100595,Individual Permit,Attleboro Water & Wastewater Division,Bristol,Narragansett,01090004,3rd Congressional District,MA,1,MAP
Gardner Dept. of Public Works,25000071001,,"$9,381,886","$5,931,724",,,,,"$15,313,610",3.01,3.01,3.01,"17,316","2,528",,,"19,844","20,061","2,785",,,"22,846",MA0100994,Individual Permit,Gardner Dept. of Public Works,Worcester,Miller,01080202,1st Congressional District,MA,1,MAP
Gloucester City Engineer's Office,25000072001,"$9,818,884",,,,,,,"$9,818,884",3.4,7.2,7.2,"19,762","30,564",,,"50,326","32,368","35,550",,,"67,918",MA0100625,Individual Permit,Gloucester City Engineers Office,Essex,Piscataqua-Salmon Falls,01060003,6th Congressional District,MA,1,MAP
Lowell Regional Wastewater Utility,25000073001,"$99,501,564",,"$64,294,991",,"$122,857,300",,,"$286,653,855",15.77,32,32,"92,841","56,755",,,"149,596","85,781","65,192",,,"150,973",MA0100633,Individual Permit,Lowell Regional Wastewater Utility,Middlesex,Merrimack,01070002,5th Congressional District,MA,1,MAP
Northampton Dept. of Public Works,25000074001,,"$38,755,681",,,,,,"$38,755,681",4.82,8.6,8.6,"30,746","2,387",,,"33,133","31,231","2,442",,,"33,673",MA0101818,Individual Permit,Northampton Dept. of Public Works,Hampshire,Middle Connecticut,01080201,2nd Congressional District,MA,1,MAP
Hull Collection System,25000075001,,,,,,,,,1.27,3.07,3.07,"4,477","69,191",,,"73,668","23,800","73,515",,,"97,315",MA0101231,Individual Permit,"HULL, TOWN OF",Plymouth,Charles,01090001,10th Congressional District,MA,1,MAP
Barnstable Dept. of Public Works,25000076001,"$31,279,962",,"$13,989,065","$153,571,138",,,,"$198,840,165",1.01,4.2,4.2,"11,596",,"35,337",,"11,596","12,776",,"38,326",,"12,776",,,Barnstable Dept. of Public Works,Barnstable,Cape Cod,01090002,10th Congressional District,MA,1,MAP
Hudson Dept. of Public Works,25000078001,,,,,,,,,1.99,2.65,2.65,"8,956",,"8,956",,"8,956","12,447",,"12,449",,"12,447",MA0101788,Individual Permit,Hudson Dept. of Public Works,Middlesex,Concord,01070005,5th Congressional District,MA,1,MAP
Middleborough Wastewater System,25000080001,"$49,686,771",,"$11,328,584",,,,,"$61,015,355",.87,2.56,3.42,"5,174",,,,"5,174","14,591",,,,"14,591",MA0101591,Individual Permit,Middleborough Sewer Dept.,Plymouth,Narragansett,01090004,4th Congressional District,MA,1,MAP
North Attleborough WWTF,25000081001,,"$25,837,121",,,,,,"$25,837,121",2.79,4.61,4.6,"11,146",,,,"11,146","17,782","4,105",,,"21,887",MA0101036,Individual Permit,North Attleborough Water Pollution Control,Bristol,Narragansett,01090004,3rd Congressional District,MA,1,MAP
Milford Dept. of Public Works,25000087001,,,"$1,989,074","$3,925,340",,,,"$5,914,414",1.21,4,4,"17,914",,,,"17,914","22,797",,,,"22,797",MA0100579,Individual Permit,Milford Dept. of Public Works,Worcester,Charles,01090001,2nd Congressional District,MA,1,MAP
Fall River Public Works Department,25000091001,,,,,"$36,304,312",,,"$36,304,312",30.9,30.9,30.9,"92,164",,,,"92,164","93,617",,,,"93,617",MA0100382,Individual Permit,Fall River Public Utilities,Bristol,Narragansett,01090004,3rd Congressional District,MA,1,MAP
Taunton Dept. of Public Works,25000093001,,,,"$93,182,150",,,,"$93,182,150",3.14,3.14,3.14,"24,084","7,008",,,"31,092","24,480","9,615",,,"34,095",MA0100897,Individual Permit,Taunton Department of Public Works,Bristol,Narragansett,01090004,4th Congressional District,MA,1,MAP
North Reading Wastewater Collection,25000095001,"$14,185,541",,,"$22,577,105",,,,"$36,762,646",,,.454,,,"14,203",,,"3,670",,"10,534",,"3,670",,,North Reading Dept. of Utilities,Middlesex,Merrimack,01070002,6th Congressional District,MA,1,MAP
Marshfield Dept of Public Works ,25000097001,"$3,020,250",,"$2,565,000",,,,,"$5,585,250",1.3,2.1,2.1,"10,943",,,,"10,943","10,943",,,,"10,943",MA0101737,Individual Permit,Marshfield Dept of Public Works,Plymouth,Cape Cod,01090002,10th Congressional District,MA,1,MAP
Amesbury Dept of Public Works,25000101001,,,,,,,,,1.51,1.9,1.9,"14,520",,"1,459",,"14,520","15,997",,"1,582",,"15,997",MA0101745,Individual Permit,AMESBURY TOWN OF,Essex,Merrimack,01070002,6th Congressional District,MA,1,MAP
Bourne Sewerage System,25000102001,"$37,882,996",,,"$76,228,779",,,,"$114,111,775",,,.2,"4,539",,"13,834",,"4,539","5,001",,"15,004",,"5,001",,,Town Administrator's Office,Barnstable,Cape Cod,01090002,10th Congressional District,MA,1,MAP
Falmouth Dept of Public Works,25000103001,"$51,674,241",,,"$201,728,289",,,,"$253,402,530",.4,1,1,"1,634",,,,"1,634","4,467",,,,"4,467",,,Falmouth Dept of Public Works - Wastewater,Barnstable,Cape Cod,01090002,10th Congressional District,MA,1,MAP
Leominster Dept of Public Works,25000107001,,"$41,500,000",,,,,,"$41,500,000",6.03,9.43,9.43,"37,000",,,,"37,000","37,000",,,,"37,000",MA0100617,Individual Permit,Leominster Dept. of Public Works,Worcester,Nashua,01070004,1st Congressional District,MA,1,MAP
Mass. Water Resources Authority,25000128001,,"$703,163,000","$32,000,000",,"$1,262,904,000",,,"$1,998,067,000",310,310,571,,"1,693,288",,,"1,693,288",,"1,862,568",,,"1,862,568",MA0103284,Individual Permit,Mass. Water Resources Authority,Suffolk,Charles,01090001,10th Congressional District,MA,1,MAP
Newburyport WPCF,25000136001,"$24,677,265",,"$2,657,643",,,,,"$27,334,908",2.36,2.36,2.36,"16,150",,,,"16,150","17,169",,,,"17,169",MA0101427,Individual Permit,Newburyport - Public Works Dept.,Essex,Merrimack,01070002,6th Congressional District,MA,1,MAP
Pepperell Dept of Public Works,25000139001,,,,,,,,,.7,.7,.7,"3,880",,,,"3,880","6,382",,,,"6,382",MA0100064,Individual Permit,Pepperell Dept of Public Works,Middlesex,Nashua,01070004,5th Congressional District,MA,1,MAP
Ware Dept. of Public Works,25000144001,,"$6,558,654",,,,,,"$6,558,654",.78,1,1,"5,970",,,,"5,970","7,112",,,,"7,112",MA0100889,Individual Permit,Ware Dept. of Public Works,Hampshire,Chicopee,01080204,1st Congressional District,MA,1,MAP
Winchedon Dept of Public Works,25000146001,,,,,,,,,.72,.72,.72,"2,625",,,,"2,625","3,326",,,,"3,326",MA0100862,Individual Permit,Winchedon Dept of Public Works,Worcester,Miller,01080202,1st Congressional District,MA,1,MAP
Rockport Dept. of Public Works,25000147001,,,,,,,,,.41,.8,.8,"3,431",,,,"3,431","6,291",,,,"6,291",MA0100145,Individual Permit,Rockport Dept of Public Works,Essex,Merrimack,01070002,7th Congressional District,MA,1,MAP
Deerfield Dept of Public Works,25000150001,,,,,,,,,.61,.85,.85,"3,084",,,,"3,084","4,376",,,,"4,376",MA0101648,Individual Permit,Deerfield Dept of Public Works,Franklin,Middle Connecticut,01080201,1st Congressional District,MA,1,MAP
Sturbridge Wastewater System,25000151001,"$20,876,229",,"$1,246,610","$21,122,559",,,,"$43,245,398",.42,.46,.46,"8,883",,"1,400",,"8,883","9,875",,"1,400",653,"9,875",MA0100421,Individual Permit,Sturbridge Town Administrator's Office,Worcester,Quinebaug,01100001,2nd Congressional District,MA,1,MAP
Northfield Dept of Public Works,25000152001,,,,,,,,,.22,.275,.275,"1,870",,,,"1,870","1,900",,,,"1,900",MA0100200,Individual Permit,Northfield Dept of Public Works,Franklin,Middle Connecticut,01080201,1st Congressional District,MA,1,MAP
Hatfield Dept. of Public Works,25000153001,,,,,,,,,.15,.7,.7,"1,491",,,,"1,491","3,701",,,,"3,701",MA0101290,Individual Permit,"HATFIELD, TOWN OF",Hampshire,Middle Connecticut,01080201,1st Congressional District,MA,1,MAP
Erving Village Wastewater System,25000158002,,,,,,,,,.13,.13,.13,545,,,,545,564,,,,564,MA0101052,Individual Permit,"ERVING, TOWN OF",Franklin,Miller,01080202,1st Congressional District,MA,1,MAP
Great Barrington Public Works,25000160001,,,,,,,,,.97,1.2,1.2,"7,383",,,,"7,383","7,500",,,,"7,500",MA0101524,Individual Permit,GREAT BARRINGTON TOWN OF,Berkshire,Housatonic,01100005,1st Congressional District,MA,1,MAP
Hadley Board of Sewer Commissioners,25000161001,,,,"$1,259,250",,,,"$1,259,250",.32,.54,.54,755,,,,755,"6,222",,,,"6,222",MA0100099,Individual Permit,"HADLEY, TOWN OF",Hampshire,Middle Connecticut,01080201,2nd Congressional District,MA,1,MAP
Lee Dept. of Public Works,25000163001,,,,,,,,,.97,1,1,"3,483",,,,"3,483","8,001",,,,"8,001",MA0100153,Individual Permit,Lee Dept. of Public Works,Berkshire,Housatonic,01100005,1st Congressional District,MA,1,MAP
North Brookfield WWTP,25000164001,,,,,,,,,.79,.96,.96,"3,396",,,,"3,396","5,017",,,,"5,017",MA0101061,Individual Permit,North Brookfield Wastewater Facility,Worcester,Chicopee,01080204,2nd Congressional District,MA,1,MAP
Sunderland Collection System,25000165001,,,,,,,,,.21,.5,.5,"2,615",,,,"2,615","2,871",,,,"2,871",MA0101079,Individual Permit,SUNDERLAND TOWN OF,Franklin,Middle Connecticut,01080201,1st Congressional District,MA,1,MAP
Cohasset Dept. of Public Works,25000166001,,,,,,,,,.07,1.02,1.02,"2,700",,,,"2,700","5,544",,,,"5,544",MA0100285,Individual Permit,Cohasset Dept. of Public Works,Plymouth,Charles,01090001,10th Congressional District,MA,1,MAP
Barre Board of Sewer Commissioners,25000168001,,,,,,,,,.2,.3,.3,"3,000",,736,,"3,000","4,310",,798,,"4,310",MA0103152,Individual Permit,"BARRE, TOWN OF",Worcester,Chicopee,01080204,1st Congressional District,MA,1,MAP
Russell Dept of Public Works,25000171001,,,,,,,,,.06,.1,.1,865,,,,865,917,,,,917,MA0100960,Individual Permit,Russell Dept of Pubic Works,Hampden,Westfield,01080206,1st Congressional District,MA,1,MAP
Ayer Water Pollution Control,25000172001,,,,,,,,,1.41,1.78,1.78,"6,857",,215,,"6,857","7,553",,234,,"7,553",MA0100013,Individual Permit,"AYER, TOWN OF",Middlesex,Nashua,01070004,5th Congressional District,MA,1,MAP
Marion Dept. of Public Works,25000175001,,,,,,,,,.44,.58,.58,"1,969",,,,"1,969","3,100",,,,"3,100",MA0100030,Individual Permit,Marion Dept. of Public Works,Plymouth,Cape Cod,01090002,4th Congressional District,MA,1,MAP
Merrimac Dept. of Public Works,25000176001,,,,,,,,,.3,.45,.45,"2,074",,,,"2,074","4,102",,,,"4,102",MA0101150,Individual Permit,Merrimac Dept. of Public Works,Essex,Merrimack,01070002,5th Congressional District,MA,1,MAP
