Facility/Project Name,CWNS Number,Cat. I ON,Cat. I UCE,Cat. II ON,Cat. II UCE,All Cat. III ON,All Cat. III UCE,All Cat. IV ON,All Cat. IV UCE,All Cat V ON,All Cat. V UCE,All Cat VI ON,All Cat. VI UCE,Cat. X ON,Cat. X UCE,Cat. XII ODN,Cat. XII UCE,Total ON,Total UCE,Total ODN,Existing Total Flow (Mgal/d),Present Design Total Flow (Mgal/d),Projected Design Total Flow (Mgal/d),Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Present Residential Downstream Collection Population,Present Residential Actual Receiving Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Projected Residential Downstream Collection Population,Projected Residential Actual Receiving Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
VERNON WPCF,09001460001,,,"$7,383,250",,"$918,674",,,,,,,,,,,,"$8,301,924",,,4.59,7.1,7.1,"27,500","2,210","1,860",,"29,710",0,29710,"30,160","8,047","1,200",,"38,207",0,38207,CT0100609,Individual Permit,VERNON WPCA,Tolland,Lower Connecticut,01080205,2nd Congressional District,CT,1,MAP
WALLINGFORD WPCF,09001480001,,,,,,,,,,,,,,,,,,,,5.364,7.65,7.65,"28,750",,"12,610",,"28,750",0,28750,"33,200",,"11,590",,"33,200",0,33200,CT0100617,Individual Permit,"WALLINGFORD, TOWN OF",New Haven,Quinnipiac,01100004,3rd Congressional District,CT,1,MAP
WATERBURY WPCF,09001510001,"$800,000",,"$32,200,000",,"$1,960,000",,,,,,,,,,,,"$34,960,000",,,21.35,25,25,"94,081","20,467","10,400",,"114,548",0,114548,"99,826","33,095","8,000",,"132,921",0,132921,CT0100625,Individual Permit,City of WATERBURY WPCA,New Haven,Housatonic,01100005,3rd Congressional District,CT,1,MAP
WEST HAVEN WPCF,09001560001,,,,,,,,,,,,,,,,,,,,6.917,12.5,12.5,"51,654",,"2,144",,"51,654",0,51654,"56,300",,"1,510",,"56,300",0,56300,CT0101079,Individual Permit,"WEST HAVEN, CITY OF",New Haven,Quinnipiac,01100004,3rd Congressional District,CT,1,MAP
WESTPORT WPCF,09001580001,,,,,,,,,,,,,,,,,,,,1.898,3.3,3.3,"9,500",,"28,849",,"9,500",0,9500,"23,200",,"3,929",,"23,200",0,23200,CT0100684,Individual Permit,"WESTPORT, TOWN OF",Fairfield,Saugatuck,01100006,4th Congressional District,CT,1,MAP
WINSTED WPCF,09001620001,,,,,,,,,,,,,,,,,,,,1.366,3.5,3.5,"9,800",,"1,900",,"9,800",0,9800,"11,570",,"1,200",,"11,570",0,11570,CT0101222,Individual Permit,"WINCHESTER, TOWN OF",Litchfield,Farmington,01080207,1st Congressional District,CT,1,MAP
WILLIMANTIC WPCF,09001630001,,,,,,,,,,,,,,,,,,,,2.709,5.5,5.5,"19,057",600,"3,800",,"19,657",0,19657,"21,500","3,340","3,750",,"24,840",0,24840,CT0101001,Individual Permit,WILLIMANTIC SEWER COMM.,Windham,Shetucket,01100002,2nd Congressional District,CT,1,MAP
WINDSOR LOCKS WPCF,09001650001,,,,,"$1,616,700",,,,,,,,,,,,"$1,616,700",,,1.464,2.12,2.12,"10,543",,"1,500",,"10,543",0,10543,"11,000",,"1,200",,"11,000",0,11000,CT0101591,Individual Permit,"WINDSOR LOCKS, TOWN OF",Hartford,Lower Connecticut,01080205,1st Congressional District,CT,1,MAP
HAMMONASSETT PARK WPCF,09002003001,,,,,,,,,,,,,,,,,,,,.18,.25,.25,,,3,,,,,,,3,,,,,,,CONN PARK DEPT OF EP,New Haven,Long Island Sound,01100007,2nd Congressional District,CT,1,MAP
UNIVERSITY OF CONN WPCF,09002005001,,,,,,,,,,,,,,,,,,,,.911,3,3,"2,000",,,,"2,000",0,2000,"2,500",,,,"2,500",0,2500,CT0101320,Individual Permit,UNIVERSITY OF CONNECTICUT,Tolland,Shetucket,01100002,2nd Congressional District,CT,1,MAP
Lynn Water and Sewer Commission,25000002001,,,,,,,,,"$69,077,189.00",,,,,,,,"$69,077,189",,,25.8,25.8,25.8,"89,871","36,949",,,"126,820",0,126820,"78,357","49,197",,,"127,554",0,127554,MA0100552,Individual Permit,Lynn Water & Sewer Commisssion,Essex,Charles,01090001,6th Congressional District,MA,1,MAP
Hoosac Water Pollution Control,25000003001,,,,,,,,,,,,,,,,,,,,5.08,5.4,5.4,"5,996","19,489",,,"25,485",0,25485,"4,248","23,458",,,"27,706",0,27706,MA0100510,Individual Permit,Hoosac Water Quality District,Berkshire,Hudson-Hoosic,02020003,1st Congressional District,MA,1,MAP
South Essex Sewer District WWTP,25000004001,"$3,113,924",,,,"$1,374,341",,,,,,,,,,,,"$4,488,265",,,15.11,29.71,29.71,"175,000","111,007",,,"286,007",0,286007,"200,000","114,825",,,"314,825",0,314825,MA0100501,Individual Permit,South Essex Wastewater District,Essex,Charles,01090001,6th Congressional District,MA,1,MAP
Acton Wastewater Collection System,25000007001,"$3,645,687",,,,,,"$9,738,477",,,,,,,,"$17,402,002",,"$13,384,164",,"$17,402,002",.2,.2,.2,"1,971",,"18,028",,"1,971",0,1971,"2,172",,"19,553",,"2,172",0,2172,,,Acton Board of Sewer Commissioners,Middlesex,Concord,01070005,3rd Congressional District,MA,1,MAP
Marlborough Easterly WWTF,25000008001,,,"$45,621,448",,"$183,400",,,,,,,,,,,,"$45,804,848",,,4,5.5,5.5,"15,923",,,,"15,923",0,15923,"16,174",,,,"16,174",0,16174,MA0100498,Individual Permit,Marlborough Department of Public Works,Middlesex,Concord,01070005,3rd Congressional District,MA,1,MAP
Marlborough Westerly WWTP,25000008002,,,,,,,,,,,,,,,,,,,,2.45,2.89,2.89,"1,989","4,332",,,"6,321",0,6321,"17,782","4,332",,,"22,114",0,22114,MA0100480,Individual Permit,Marlborough Department of Public Works,Middlesex,Concord,01070005,3rd Congressional District,MA,1,MAP
Westfield Dept of Public Works,25000010001,,,"$4,516,812",,"$762,236",,,,,,,,,,,,"$5,279,048",,,3.76,4.5,6.1,"20,103","15,625",,,"35,728",0,35728,"25,785","16,000",,,"41,785",0,41785,MA0101800,Individual Permit,Westfield Dept of Public Works,Hampden,Westfield,01080206,1st Congressional District,MA,1,MAP
Concord Dept. of Public Works,25000012001,"$2,755,196",,"$20,027,536",,,,"$16,291,592",,,,,,,,,,"$39,074,324",,,.92,1.22,1.22,"5,439",,"11,218",,"5,439",0,5439,"5,992",,"12,167",,"5,992",0,5992,MA0100668,Individual Permit,Concord Department of Public Works,Middlesex,Concord,01070005,3rd Congressional District,MA,1,MAP
Greenfield Wastewater Facility,25000013001,,,"$54,932,682",,"$900,000",,,,,,,,,,,,"$55,832,682",,,3.506,3.75,3.75,"16,736",,,,"16,736",0,16736,"20,448",,,,"20,448",0,20448,MA0101214,Individual Permit,Greenfield Board of Public Works,Franklin,Deerfield,01080203,2nd Congressional District,MA,1,MAP
Ipswich Dept. of Public Works,25000015001,,,,,,,,,,,,,,,,,,,,.85,1.8,1.8,"4,576",,,,"4,576",0,4576,"8,207",,,,"8,207",0,8207,MA0100609,Individual Permit,"IPSWICH, TOWN OF",Essex,Charles,01090001,6th Congressional District,MA,1,MAP
Plymouth Department of Public Works,25000016001,,,"$2,242,184",,,,,,,,,,,,,,"$2,242,184",,,1.75,1.75,1.75,"13,269",,,,"13,269",0,13269,"17,100",,,,"17,100",0,17100,MA0100587,Individual Permit,Plymouth Department of Public Works,Plymouth,Cape Cod,01090002,9th Congressional District,MA,1,MAP
Rockland Sewer Dept.,25000018001,"$15,204",,,,,,,,,,,,,,,,"$15,204",,,1.32,2.5,2.5,"10,946",,,,"10,946",0,10946,"16,002",,,,"16,002",0,16002,MA0101923,Individual Permit,Rockland Sewer Commission,Plymouth,Cape Cod,01090002,9th Congressional District,MA,1,MAP
Scituate Dept. of Public Works,25000019001,,,"$5,699,379",,"$3,319,426",,"$29,665,998",,,,,,,,,,"$38,684,803",,,.84,1,1,"8,273",,,,"8,273",0,8273,"18,393",,,,"18,393",0,18393,MA0102695,Individual Permit,Scituate Dept. of Public Works,Plymouth,Cape Cod,01090002,8th Congressional District,MA,1,MAP
Swampscott Dept of Public Works,25000020001,,,,,,,,,,,,,,,,,,,,1.51,2.2,2.2,"13,933",,,,"13,933",13933,0,"16,961",,,,"16,961",16961,0,,,"SWAMPSCOTT      ,TOWNOF",Essex,Charles,01090001,6th Congressional District,MA,1,MAP
Brockton Dept.of Public Works,25000024001,,,,,,,,,,,,,,,,,,,,15.73,18,18,"106,498","19,758",,,"126,256",0,126256,"108,176","20,479",,,"128,655",0,128655,MA0101010,Individual Permit,Brockton Department of Public Works,Bristol,Narragansett,01090004,8th Congressional District,MA,1,MAP
Upper Blackstone Abatement District,25000025001,,,"$201,793,525",,,,,,,,,,,,,,"$201,793,525",,,37.4,63,63,,"207,535",,,"207,535",0,207535,,"211,327",,,"211,327",0,211327,MA0102369,Individual Permit,Upper Blackstone Water Pollution Abatement Distric,Worcester,Blackstone,01090003,2nd Congressional District,MA,1,MAP
Billerica  Dept. of Public Works,25000027001,"$24,890,405",,,,"$25,774,656",,"$201,306,080",,,,,,,,,,"$251,971,141",,,4.46,4.46,5.52,"27,000",,"5,292",,"27,000",0,27000,"34,500",,"5,292",,"34,500",0,34500,MA0101711,Individual Permit,Billerica Dept. of Public Works,Middlesex,Concord,01070005,6th Congressional District,MA,1,MAP
Fairhaven DPW Wastewater Dept.,25000028001,,,,,,,,,,,,,,,,,,,,2.12,5,5,"12,166","1,969",,,"14,135",0,14135,"17,234","6,190",,,"23,424",0,23424,MA0100765,Individual Permit,"FAIRHAVEN, TOWN OF",Bristol,Cape Cod,01090002,9th Congressional District,MA,1,MAP
Shrewsbury Collection System.,25000029001,"$7,475,791",,"$40,523,452",,"$3,454,612",,,,,,,,,,,,"$51,453,855",,,1.26,1.75,1.75,"16,684",,,,"16,684",16684,0,"25,287",,,,"25,287",25287,0,,,Shrewsbury Dept. of Public Works,Worcester,Concord,01070005,2nd Congressional District,MA,1,MAP
Somerset Water Pollution Control,25000030001,,,,,"$1,103,077",,,,,,,,,,,,"$1,103,077",,,2.59,3.2,3.2,"12,902",,,,"12,902",0,12902,"22,797",,,,"22,797",0,22797,MA0100676,Individual Permit,Somerset Water Pollution Control,Bristol,Narragansett,01090004,4th Congressional District,MA,1,MAP
Southbridge Dept. of Public Works,25000031001,"$2,843,912",,,,"$224,403",,,,,,,,,,,,"$3,068,315",,,1.51,2.3,2.3,"14,928",,,,"14,928",0,14928,"24,718",,,,"24,718",0,24718,MA0100901,Individual Permit,Southbridge Dept. of Public Works,Worcester,Quinebaug,01100001,1st Congressional District,MA,1,MAP
Wareham Water Pollution Ctrl Fac.,25000032001,,,,,,,"$1,240,243",,,,,,,,,,"$1,240,243",,,.33,1.8,1.8,"1,491","4,539",,,"6,030",0,6030,"5,471","5,001",,,"10,472",0,10472,MA0101893,Individual Permit,Wareham Wastewater Control,Plymouth,Cape Cod,01090002,9th Congressional District,MA,1,MAP
Webster Sewer Department,25000033001,"$635,435",,,,,,,,,,,,,,,,"$635,435",,,6,6,6,"10,529","9,179",,,"19,708",0,19708,"16,002","10,911",,,"26,913",0,26913,MA0100439,Individual Permit,Webster Sewer Department,Worcester,Quinebaug,01100001,2nd Congressional District,MA,1,MAP
Dartmouth Dept. of Public Works,25000034001,"$1,090,675",,,,"$1,434,475",,,,,,,,,,,,"$2,525,150",,,.4,3.08,3.08,"12,848",,,,"12,848",0,12848,"14,493",,,,"14,493",0,14493,MA0101605,Individual Permit,Dartmouth WPC,Bristol,Cape Cod,01090002,9th Congressional District,MA,1,MAP
Greater Lawrence Sanitary District,25000035001,"$41,268,552",,,,,,,,"$218,848,382.00",,,,,,,,"$260,116,934",,,31,55,55,"203,000","158,545",,,"361,545",0,361545,"220,000","174,079",,,"394,079",0,394079,MA0100447,Individual Permit,Greater Lawrence Sanitary District,Essex,Merrimack River,01070006,6th Congressional District,MA,1,MAP
Fitchburg Wastewater System,25000037001,"$12,789,795",,,,"$7,126,296",,,,"$21,589,668.00",,,,,,,,"$41,505,759",,,8.1,12.4,12.4,"41,603","10,340",,,"51,943",0,51943,"41,760","11,715",,,"53,475",0,53475,MA0100986,Individual Permit,Fitchburg Wastewater Commission,Worcester,Nashua,01070004,3rd Congressional District,MA,1,MAP
Haverhill Sewer Collection System,25000038001,"$3,203,389",,,,,,,,"$155,679.00",,,,,,,,"$3,359,068",,,8,8.9,8.9,"41,801","1,991",,,"43,792",0,43792,"60,879","2,194",,,"63,073",0,63073,MA0101621,Individual Permit,Haverhill Water and Wastewater Dept.,Essex,Merrimack River,01070006,3rd Congressional District,MA,1,MAP
New Bedford Wastewater District,25000040001,,,,,,,,,"$181,187,736.00",,,,,,,,"$181,187,736",,,29.6,29.6,29.6,"95,072","9,757",,,"104,829",0,104829,"100,080","10,749",,,"110,829",0,110829,MA0100781,Individual Permit,New Bedford Wastewater Division,Bristol,Cape Cod,01090002,9th Congressional District,MA,1,MAP
Pittsfield Dept of Public Works,25000041001,,,,,,,,,,,,,,,,,,,,10.57,17,17,"54,741","12,860",,,"67,601",0,67601,"55,629","14,152",,,"69,781",0,69781,MA0101681,Individual Permit,Pittsfield DPW,Berkshire,Housatonic,01100005,1st Congressional District,MA,1,MAP
Springfield Wastewater System,25000042001,"$134,893,662",,,,"$189,315,581",,,,,,,,,,,,"$324,209,243",,,44.99,67.1,64.89,"146,042","89,762","1,498",,"235,804",0,235804,"160,892","95,083","1,625",,"255,975",0,255975,MA0101613,Individual Permit,Springfield Water and Sewer Commission,Hampden,Lower Connecticut,01080205,1st Congressional District,MA,1,MAP
Adams Dept of Public Works,25000044001,"$178,236",,,,"$14,071",,,,,,,,,,,,"$192,307",,,1.67,1.67,1.67,"8,031",,521,,"8,031",0,8031,"8,848",,565,,"8,848",0,8848,MA0100315,Individual Permit,"ADAMS      ,TOWN OF",Berkshire,Hudson-Hoosic,02020003,1st Congressional District,MA,1,MAP
Amherst Dept. of Public Works,25000045001,,,"$68,385,583",,,,"$14,397,071",,,,,,,,,,"$82,782,654",,,4.33,7.1,7.1,"30,783",,"3,092",,"30,783",0,30783,"33,913",,"3,354",,"33,913",0,33913,MA0100218,Individual Permit,Town of Amherst,Hampshire,Middle Connecticut,01080201,2nd Congressional District,MA,1,MAP
MWRA - clinton,25000048001,,,,,,,,,,,,,,,,,,,,1.76,3,3,,"11,563",,,"11,563",0,11563,,"12,740",,,"12,740",0,12740,MA0100404,Individual Permit,Mass. Water Resources Authority,Worcester,Nashua,01070004,3rd Congressional District,MA,1,MAP
Grafton Wastewater System,25000049001,,,"$45,964,081",,"$456,395",,,,,,,,,,,,"$46,420,476",,,1.6,1.6,1.6,"7,987",,,,"7,987",0,7987,"8,662",,,,"8,662",0,8662,MA0101311,Individual Permit,Grafton Wastewater System,Worcester,Blackstone,01090003,2nd Congressional District,MA,1,MAP
Northbridge Dept. of Public Works,25000057001,,,"$17,937,202",,,,,,,,,,,,,,"$17,937,202",,,1.01,1.8,1.8,"7,470",,,,"7,470",0,7470,"11,398",,,,"11,398",0,11398,MA0100722,Individual Permit,Northbridge Dept. of Public Works,Worcester,Blackstone,01090003,2nd Congressional District,MA,1,MAP
Chicopee Water Pollution Control,25000059001,"$2,143,115",,"$97,533,537",,"$3,250,775",,,,"$125,591,658.00",,,,,,,,"$228,519,085",,,10.32,15.5,15.5,"61,707",,,,"61,707",0,61707,"64,019",,,,"64,019",0,64019,MA0101508,Individual Permit,Chicopee Water Pollution Control,Hampden,Lower Connecticut,01080205,1st Congressional District,MA,1,MAP
Holyoke Collection System,25000060001,"$5,407,206",,"$110,986,439",,"$2,002,180",,,,"$36,540,590.00",,,,,,,,"$154,936,415",,,12.17,21,21,"47,773",,,,"47,773",0,47773,"47,430",,,,"47,430",0,47430,MA0101630,Individual Permit,Holyoke Department of Public Works,Hampden,Middle Connecticut,01080201,1st Congressional District,MA,1,MAP
Athol Dept. of Public Works,25000062001,,,,,"$1,190,319",,,,,,,,,,,,"$1,190,319",,,1.75,2.63,2.63,"11,601",,111,,"11,601",0,11601,"11,953",,121,,"11,953",0,11953,MA0100005,Individual Permit,Athol Dept. of Public Works,Worcester,Miller,01080202,2nd Congressional District,MA,1,MAP
Easthampton Dept. of Public Works,25000063001,,,"$3,454,033",,,,,,,,,,,,,,"$3,454,033",,,2.73,3.3,3.3,"14,767",,,,"14,767",0,14767,"16,626",,,,"16,626",0,16626,MA0101478,Individual Permit,Easthampton Department of Public Works,Hampshire,Middle Connecticut,01080201,1st Congressional District,MA,1,MAP
Palmer Water Pollution Control,25000066001,,,"$28,345,264",,,,,,,,,,,,,,"$28,345,264",,,2.2,2.2,2.2,"8,886","8,408",,,"17,294",0,17294,"12,537","9,656",,,"22,193",0,22193,MA0101168,Individual Permit,Palmer Water Pollution Control Facility,Hampden,Chicopee,01080204,1st Congressional District,MA,1,MAP
"South Hadley Dept, of Public Works",25000067001,"$11,334,391",,"$24,885,602",,"$4,022,691",,,,,,,,,,,,"$40,242,684",,,2.97,4.2,4.2,"16,487",297,,,"16,784",0,16784,"17,729",328,,,"18,057",0,18057,MA0100455,Individual Permit,South Hadley Dept. of Public Works,Hampden,Middle Connecticut,01080201,1st Congressional District,MA,1,MAP
Attleboro Water and Wastewater Div.,25000070001,,,"$44,800,079",,,,"$116,643,172",,,,,,,,,,"$161,443,251",,,3.43,3.43,3.43,"42,068","1,300","6,693",,"43,368",0,43368,"54,600","1,700","6,693",,"56,300",0,56300,MA0100595,Individual Permit,Attleboro Water & Wastewater Division,Bristol,Narragansett,01090004,4th Congressional District,MA,1,MAP
Gardner Dept. of Public Works,25000071001,,,"$10,641,308",,"$2,128,483",,,,,,,,,,,,"$12,769,791",,,3.01,3.01,3.01,"17,316","2,528",,,"19,844",0,19844,"20,061","2,785",,,"22,846",0,22846,MA0100994,Individual Permit,Gardner Dept. of Public Works,Worcester,Miller,01080202,2nd Congressional District,MA,1,MAP
Gloucester City Engineer's Office,25000072001,,,,,"$924,023",,,,"$4,286,368.00",,,,,,,,"$5,210,391",,,3.4,7.2,7.2,"19,762","30,564",,,"50,326",0,50326,"32,368","35,550",,,"67,918",0,67918,MA0100625,Individual Permit,Gloucester City Engineers Office,Essex,Piscataqua-Salmon Falls,01060003,6th Congressional District,MA,1,MAP
Lowell Regional Wastewater Utility,25000073001,"$60,448,371",,,,"$65,638,949",,,,"$139,349,640.00",,,,,,,,"$265,436,960",,,15.77,32,32,"92,841","56,755",,,"149,596",0,149596,"85,781","65,192",,,"150,973",0,150973,MA0100633,Individual Permit,Lowell Regional Wastewater Utility,Middlesex,Merrimack River,01070006,3rd Congressional District,MA,1,MAP
Northampton Dept. of Public Works,25000074001,,,"$43,721,930",,,,,,,,,,,,,,"$43,721,930",,,4.82,8.6,8.6,"30,746","2,387",,,"33,133",0,33133,"31,231","2,442",,,"33,673",0,33673,MA0101818,Individual Permit,Northampton Dept. of Public Works,Hampshire,Middle Connecticut,01080201,2nd Congressional District,MA,1,MAP
Hull Collection System,25000075001,,,,,,,,,,,,,,,,,,,,1.27,3.07,3.07,"4,477","69,191",,,"73,668",0,73668,"23,800","73,515",,,"97,315",0,97315,MA0101231,Individual Permit,"HULL, TOWN OF",Plymouth,Charles,01090001,8th Congressional District,MA,1,MAP
Barnstable Dept. of Public Works,25000076001,"$27,098,167",,,,"$15,885,132",,"$156,398,473",,,,,,,,,,"$199,381,772",,,1.01,4.2,4.2,"11,596",,"35,337",,"11,596",0,11596,"12,776",,"38,326",,"12,776",0,12776,,,Barnstable Dept. of Public Works,Barnstable,Cape Cod,01090002,9th Congressional District,MA,1,MAP
Hudson Dept. of Public Works,25000078001,"$17,637,169",,,,,,"$4,181,527",,,,,,,,,,"$21,818,696",,,1.99,2.65,2.65,"8,956",,"8,956",,"8,956",0,8956,"12,447",,"12,449",,"12,447",0,12447,MA0101788,Individual Permit,Hudson Dept. of Public Works,Middlesex,Concord,01070005,3rd Congressional District,MA,1,MAP
Middleborough Wastewater System,25000080001,"$55,323,767",,,,"$12,613,819",,,,,,,,,,,,"$67,937,586",,,.87,2.56,3.42,"5,174",,,,"5,174",0,5174,"14,591",,,,"14,591",0,14591,MA0101591,Individual Permit,Middleborough Sewer Dept.,Plymouth,Narragansett,01090004,9th Congressional District,MA,1,MAP
North Attleborough WWTF,25000081001,,,,,,,,,,,,,,,,,,,,2.79,2.79,2.79,"11,146",,,,"11,146",0,11146,"17,782","4,105",,,"21,887",0,21887,MA0101036,Individual Permit,North Attleborough Water Pollution Control,Bristol,Narragansett,01090004,4th Congressional District,MA,1,MAP
Milford Dept. of Public Works,25000087001,"$1,580,196",,,,"$2,050,304",,,,,,,,,,,,"$3,630,500",,,1.21,4,4,"17,914",,,,"17,914",0,17914,"22,797",,,,"22,797",0,22797,MA0100579,Individual Permit,Milford Dept. of Public Works,Worcester,Charles,01090001,4th Congressional District,MA,1,MAP
Fall River Public Works Department,25000091001,,,,,,,,,"$51,869,133.00",,,,,,,,"$51,869,133",,,30.9,30.9,30.9,"92,164",495,,,"92,659",0,92659,"93,617","2,643",,,"96,260",0,96260,MA0100382,Individual Permit,Fall River Public Utilities,Bristol,Narragansett,01090004,9th Congressional District,MA,1,MAP
Taunton Dept. of Public Works,25000093001,"$13,283,026",,"$17,460,752",,,,"$75,091,945",,"$21,895,569.00",,,,,,,,"$127,731,292",,,7.1,8.4,10.2,"24,084","7,008",,,"31,092",0,31092,"24,480","9,615",,,"34,095",0,34095,MA0100897,Individual Permit,Taunton Department of Public Works,Bristol,Narragansett,01090004,4th Congressional District,MA,1,MAP
Marshfield Dept of Public Works,25000097001,"$1,077,141",,,,"$919,347",,,,,,,,,,,,"$1,996,488",,,1.3,2.1,2.1,"10,943",,,,"10,943",0,10943,"10,943",,,,"10,943",0,10943,MA0101737,Individual Permit,Marshfield Dept of Public Works,Plymouth,Cape Cod,01090002,9th Congressional District,MA,1,MAP
Amesbury Dept of Public Works,25000101001,,,,,"$1,851,091",,"$1,909,338",,,,,,,,,,"$3,760,429",,,1.51,1.9,1.9,"14,520",,"1,459",,"14,520",0,14520,"15,997",,"1,582",,"15,997",0,15997,MA0101745,Individual Permit,AMESBURY TOWN OF,Essex,Merrimack River,01070006,6th Congressional District,MA,1,MAP
Falmouth Dept of Public Works,25000103001,"$55,761,599",,,,,,"$217,684,703",,,,,,,,,,"$273,446,302",,,.4,1,1,"1,634",,,,"1,634",0,1634,"4,467",,,,"4,467",0,4467,,,Falmouth Dept of Public Works - Wastewater,Barnstable,Cape Cod,01090002,9th Congressional District,MA,1,MAP
Leominster Dept of Public Works,25000107001,,,"$5,376,297",,,,,,,,,,,,,,"$5,376,297",,,6.03,9.43,9.43,"37,000",,,,"37,000",0,37000,"37,000",,,,"37,000",0,37000,MA0100617,Individual Permit,Leominster Dept. of Public Works,Worcester,Nashua,01070004,2nd Congressional District,MA,1,MAP
Mass. Water Resources Authority,25000128001,"$21,887,931",,"$639,691,295",,"$518,614,288",,"$4,010,585",,"$27,814,750.00",,,,,,,,"$1,212,018,849",,,310,310,571,,"1,693,288",,,"1,693,288",0,1693288,,"1,862,568",,,"1,862,568",0,1862568,MA0103284,Individual Permit,Mass. Water Resources Authority,Suffolk,Charles,01090001,7th Congressional District,MA,1,MAP
Newburyport WPCF,25000136001,,,,,,,,,,,,,,,,,,,,2.36,2.36,2.36,"16,150",,,,"16,150",0,16150,"17,169",,,,"17,169",0,17169,MA0101427,Individual Permit,Newburyport - Public Works Dept.,Essex,Merrimack River,01070006,6th Congressional District,MA,1,MAP
Pepperell Dept of Public Works,25000139001,"$140,879",,,,,,"$828,701",,,,,,,,,,"$969,580",,,.7,.7,.7,"3,880",,,,"3,880",0,3880,"6,382",,,,"6,382",0,6382,MA0100064,Individual Permit,Pepperell Dept of Public Works,Middlesex,Nashua,01070004,3rd Congressional District,MA,1,MAP
Ware Dept. of Public Works,25000144001,,,"$7,399,096",,,,,,,,,,,,,,"$7,399,096",,,.78,1,1,"5,970",,,,"5,970",0,5970,"7,112",,,,"7,112",0,7112,MA0100889,Individual Permit,Ware Dept. of Public Works,Hampshire,Chicopee,01080204,2nd Congressional District,MA,1,MAP
Winchedon Dept of Public Works,25000146001,,,,,,,"$6,058,453",,,,,,,,,,"$6,058,453",,,.72,.72,.72,"2,625",,,,"2,625",0,2625,"3,326",,,,"3,326",0,3326,MA0100862,Individual Permit,Winchedon Dept of Public Works,Worcester,Miller,01080202,2nd Congressional District,MA,1,MAP
Rockport Dept. of Public Works,25000147001,"$227,330",,,,"$164,457",,,,,,,,,,,,"$391,787",,,.6,.6,.6,"6,500",,,,"6,500",0,6500,"6,500",,,,"6,500",0,6500,MA0100145,Individual Permit,Rockport Dept of Public Works,Essex,Charles,01090001,6th Congressional District,MA,1,MAP
Deerfield Dept of Public Works,25000150001,"$365,973",,,,,,"$4,137,546",,,,,,,,,,"$4,503,519",,,.61,.85,.85,"3,084",,,,"3,084",0,3084,"4,376",,,,"4,376",0,4376,,,Deerfield Dept of Public Works,Franklin,Middle Connecticut,01080201,2nd Congressional District,MA,1,MAP
Sturbridge Wastewater System,25000151001,,,,,"$1,413,955",,"$23,958,047",,,,,,,,"$22,305,417",,"$25,372,002",,"$22,305,417",.42,.46,.46,"8,883",,"1,400",,"8,883",0,8883,"9,875",,"1,400",,"9,875",0,9875,MA0100421,Individual Permit,Sturbridge Town Administrator's Office,Worcester,Quinebaug,01100001,1st Congressional District,MA,1,MAP
Northfield Dept of Public Works,25000152001,,,,,,,,,,,,,,,,,,,,.22,.275,.275,"1,870",,,,"1,870",0,1870,"1,900",,,,"1,900",0,1900,MA0100200,Individual Permit,Northfield Dept of Public Works,Franklin,Middle Connecticut,01080201,2nd Congressional District,MA,1,MAP
Hatfield Dept. of Public Works,25000153001,,,,,,,,,,,,,,,,,,,,.15,.7,.7,"1,491",,,,"1,491",0,1491,"3,701",,,,"3,701",0,3701,MA0101290,Individual Permit,"HATFIELD, TOWN OF",Hampshire,Middle Connecticut,01080201,2nd Congressional District,MA,1,MAP
Erving Village Wastewater System,25000158002,,,,,,,,,,,,,,,,,,,,.13,.13,.13,545,,,,545,0,545,564,,,,564,0,564,MA0101052,Individual Permit,"ERVING, TOWN OF",Franklin,Miller,01080202,2nd Congressional District,MA,1,MAP
